ln_R,ln_I
3.372363567,4.88199234
3.447639227,5.180874348
3.121626616,4.682856083
2.974557161,4.45603466
3.308258295,4.708274841
2.61544013,4.22619915
3.049006701,4.184378147
3.128933907,4.181135654
2.91497016,3.962537766
3.39840889,5.447142124
3.961647272,6.775772095
3.334751606,3.951019049
2.97008419,4.080156803
3.293118477,4.315066338
2.93363595,4.042970181
3.049597025,4.006830215
3.618267536,5.917509556
3.761997223,6.749860764
2.884890079,4.258063316
2.932271719,4.235696793
3.601920843,6.015135288
3.202125549,4.70051384
3.539686441,4.91939497
3.147958755,3.907289505
3.075974941,4.071432114
2.954582453,4.804255962
3.387196064,5.392181396
3.021254539,4.120335102
3.08296752,4.379123688
3.210677147,5.14552784
3.237667322,4.718504429
3.292188406,4.408729076
3.028423309,4.951120377
3.431215525,4.847949505
2.86203742,3.743554115
2.934618473,4.320840836
3.161087275,4.085175514
3.413169146,5.244646549
3.211782694,4.794297695
3.123371124,4.906732559
3.102126598,4.285778046
2.772040844,3.833820581
2.967120647,4.376688957
3.368643761,4.09329319
3.440757036,3.82541728
2.826134205,4.088894844
3.121626377,4.187721729
3.146936417,3.881908178
3.001489401,4.517114639
3.254360199,3.868309259
3.481487036,5.663960934
2.877308607,3.962320328
3.590291739,6.073019505
2.939548016,4.37068367
2.854770184,3.759596348
3.225460529,3.803674936
3.245662928,5.414710999
3.70208621,5.98269701
3.099760056,4.406599045
2.935781717,3.765140295
2.943573713,4.013755322
3.140335321,4.520597458
3.003173351,4.009263515
3.28407836,4.699549675
3.405797482,5.499246597
3.245769501,4.472995281
3.279550552,4.090251446
2.816953659,4.081575394
2.909332514,3.964687824
3.120948553,4.579379559
3.165252686,4.424814224
2.94854641,3.796489
3.20194149,3.85182476
2.862882137,3.849822998
3.274951696,3.595694304
3.165272236,4.000594616
3.088954926,3.980759859
3.491164207,3.67442441
3.093751669,3.812673569
3.084837675,3.783611059
3.152248859,4.164767742
2.96626544,3.851789474
2.928697348,3.875591755
3.47626543,5.485096931
3.169174671,4.926374435
3.122282982,4.31520462
3.181423664,5.096836567
3.22707963,4.625406265
3.228483677,4.009651184
3.232077122,4.780197144
3.029127121,4.469302177
3.193330288,4.249492645
3.062562466,3.704411745
3.06120944,4.194054604
3.007073402,4.127298832
3.002660036,4.002818584
3.261829138,4.84059763
3.039468527,4.071335316
3.444035292,5.407861233
2.959031105,3.735613346
2.974745512,4.31326437
3.157758236,3.712311983
3.292681694,4.023301125
2.895969152,3.922442913
3.18345356,4.484052181
2.82183218,4.650843143
3.185758829,4.262495041
2.896410227,4.196704388
3.052850485,4.040486336
3.061080217,4.062572002
3.23240304,3.634154797
3.013619423,3.707451105
3.217668772,3.74476862
3.262233973,4.552754879
2.787307262,4.135061741
3.024024725,4.089382172
2.851116896,4.189236641
