ln_R,ln_I
4.673960209,5.03469944
6.134287834,6.480006218
6.276817799,6.825431824
6.091350079,6.212734699
4.735625267,4.705757618
4.270289421,5.324221134
4.906477451,4.789660931
6.184722424,6.490839481
6.215786457,6.9288311
5.572733402,6.310894012
3.864388227,4.691552162
4.393868446,5.68857336
4.963742256,5.233829021
5.869586468,6.416122437
6.007388592,6.442042351
5.928771973,6.616609573
4.118713856,4.90591383
5.742874622,6.65045929
6.07443285,6.735321045
5.918307304,6.783389091
6.042750359,6.562051773
6.148667336,6.818413258
4.912845612,4.754582882
6.085816383,6.55154705
6.302798271,7.106194019
5.305745602,5.310347557
5.783595085,6.330275059
5.419752598,4.452020645
4.584689617,5.707648277
6.148181438,6.683488846
4.028151512,5.49102354
4.407233238,5.211889267
5.81572628,6.687873363
4.58126545,5.334788799
4.553330898,5.408937931
6.182271957,5.972611427
6.406148434,6.778581619
5.972962379,5.648385048
6.147085667,5.986558914
5.692700386,6.945025444
4.738616943,4.965409756
6.2064538,6.729833126
5.733347416,6.04178524
6.119954109,6.342159271
5.871126175,6.270485401
5.557995319,6.181461811
6.219743729,6.91291523
6.373429298,6.779517174
5.93081522,6.556124687
4.395174026,5.362515926
4.70481205,5.452319145
4.898382187,4.824774742
6.1199646,5.624563694
6.219782829,6.510360241
4.495151997,5.180247307
5.056378365,5.130967617
5.76655817,6.243762016
4.584914684,4.67083931
4.273202896,4.750519753
6.17257309,6.791685581
5.943809032,6.430726051
5.885066032,6.83273077
5.651857376,7.279389381
4.615112305,4.741925716
4.698224068,5.068021774
5.73444891,5.144649506
4.633905411,4.927548885
5.969912529,6.614159107
4.877723217,4.865774632
4.312447071,5.41136694
6.325471878,6.781814575
6.316524982,6.651754379
5.851131439,6.305250645
5.601984024,5.939734459
6.358856678,6.541531086
5.760053635,6.657516003
6.102261066,6.475213051
4.952697277,4.871377945
5.90460825,6.433074951
4.538803101,4.77780962
6.209069252,6.6897645
5.973665714,6.683251381
6.430150509,6.812023163
5.886319637,6.903464794
6.241911888,6.316967487
4.813342094,5.319439411
6.367827892,6.859323502
6.395097256,7.026721954
5.977902889,6.553112507
6.012187958,6.603692055
4.853621006,5.221253395
6.254797459,6.451005936
5.821784019,6.454861164
6.070714951,6.966243267
6.067442417,6.492880344
5.559363842,5.966673851
5.294887066,5.037721157
6.231592655,6.613479137
6.095765114,6.570960999
5.91621542,6.821031094
5.719508648,5.624720097
4.995512486,5.031684875
6.19785738,6.569150925
6.056435108,6.626682758
5.708405018,6.286756516
4.716199398,5.023110867
5.71228981,6.660474777
4.105144978,4.919734955
5.826207161,6.870504856
6.278252602,5.771389484
4.76961565,6.452057838
3.859845877,5.139031887
5.743360043,6.981825352
4.533484459,5.312819481
4.295915604,5.060506821
5.522075176,6.714631557
5.324929714,6.246063709
4.452786922,5.707231522
5.877815723,7.198181152
6.099159241,7.412185192
4.100330353,5.344105244
5.518941402,6.477831364
3.866853952,4.823485374
5.048335075,6.485881329
5.016486168,5.906500816
4.436888218,4.337955952
6.083950996,7.100324631
5.662590504,6.846558094
5.558506966,6.613951683
6.165049076,7.018681526
6.121200085,7.252551556
4.033824444,4.737250805
5.989685535,6.733334541
4.449772835,5.196629524
5.590875626,6.380262852
5.674573898,6.879889011
3.964844227,5.038994789
5.68033123,6.885406494
3.598115683,4.215404987
5.944898129,7.046238422
5.799435139,6.507276535
3.872505188,4.392855644
5.283708572,6.407208443
6.19405508,7.05770731
5.972858429,7.027901649
5.835987568,6.557778835
5.21360445,6.271148682
5.810173512,7.074159145
4.229457378,5.098398209
3.531750441,3.66514039
4.044159412,4.898728371
5.913712025,6.907509327
5.777971268,6.771404266
6.225363255,6.926388264
4.201033592,4.357522488
4.056058407,4.519936562
4.244704723,5.499990463
4.436249256,5.070967197
4.899118423,5.174734116
5.636755466,6.654872417
4.281384468,5.439263344
6.537876606,7.523164749
4.526367188,5.636600971
5.403467655,6.538094521
4.673314571,4.87054491
4.744585991,4.532105446
5.707181454,6.342359543
6.312684536,4.886428833
4.185141087,4.12131834
5.890891552,6.761059284
4.326246262,5.366934299
5.909249306,6.755588531
4.818199635,4.703821182
6.098579884,6.997229576
6.323359013,7.130683422
4.506706238,5.573548317
4.242629528,5.121839523
4.639690876,4.687171459
5.891060829,7.065703869
5.540393829,6.362064362
6.071538448,7.178295135
6.326257229,7.278037071
4.251022816,4.969473362
4.511514187,4.949688435
5.025040627,6.348088264
4.364931107,5.6170187
4.28737545,5.159802914
6.074839592,7.104425907
4.152175426,5.362653732
6.135438442,6.805417061
5.558346748,6.615657806
5.553948879,6.761582375
4.723749161,5.312605381
5.680936813,6.566883564
5.20161438,5.245271206
6.019280434,7.040256977
5.498794079,6.668106556
5.771650791,6.573248863
4.596901417,4.817438602
4.065719604,4.623033524
5.910709858,7.133152962
5.891841412,6.773780823
4.32913208,4.794051647
5.786905766,6.90816021
5.914578438,6.586826324
4.079492092,4.939916134
4.015020847,4.676819801
5.542503357,6.243034363
4.714870453,5.281188488
4.61362505,5.404231548
5.646865368,6.351857185
5.666689873,6.653168678
4.274414063,5.13879776
5.698770523,6.450780869
4.275036812,4.855312347
5.594718933,7.150298595
4.280695438,5.101672649
5.776186466,6.801251411
6.084387779,7.175287724
5.589391708,6.167700291
6.102632999,6.80454874
6.236698151,7.014088154
5.607795238,6.561835289
5.583281517,6.161273003
6.201467991,7.022191525
6.035618782,7.100344181
5.732079506,6.670554638
4.831299305,5.332230568
5.621278763,6.418165684
5.69837904,6.755122185
5.583761692,6.439702034
4.052218914,4.803926945
5.451074123,6.432285786
5.222772121,6.48899889
5.962561131,6.897735119
5.812617302,6.87323904
5.341025352,6.446234703
5.383827209,6.512320995
5.915094852,7.086379051
3.994213343,4.150238514
4.430969238,5.047551155
4.106799126,5.4999547
6.019275188,6.942427158
5.78728056,6.833318233
4.040268421,4.999825954
4.122874737,4.794395924
5.771555901,7.059182644
4.418848515,5.28665781
4.533178329,4.958128929
4.246923447,5.213155746
5.674146652,6.70400238
4.286405563,4.912173271
4.260518551,5.084528923
4.079226494,5.000742435
4.156101227,4.713357925
5.641562462,6.794036865
4.488587856,5.2963624
4.379379749,5.874615192
3.99369812,4.865708351
4.524046898,5.457180023
4.458280563,4.988248825
5.73886776,6.729928017
4.245425701,5.770022869
4.170211792,4.895842552
4.592118263,4.742133141
5.58271265,3.794671535
4.528985977,5.246853352
4.075805664,5.322517395
4.614038944,5.589283466
5.906859875,7.17307663
4.042985916,5.414549351
4.46872139,5.213327885
4.099641323,5.055598736
4.079126358,5.364055634
5.609039307,6.470290184
5.481173038,6.638611317
5.999011517,7.078384399
5.659556866,6.534282207
4.145331383,5.062242031
5.950663567,7.426578522
6.31340456,7.414915562
5.558178902,6.325847626
5.916986465,6.919528484
5.698169231,6.937365055
4.691930771,4.994542599
4.277220249,5.128818512
4.026638031,5.341553211
6.358940125,7.025953293
4.298624516,5.135920525
5.777199268,6.958449841
5.259455204,6.187040329
6.085704803,6.919451714
