ln_R,ln_I
3.587961197,6.219515324
3.255794048,5.755930901
3.232857943,5.654328346
3.321977139,5.672989368
3.568392277,6.268749714
3.481669664,6.035119534
3.472248793,6.384773731
3.56993413,5.892154217
3.461159945,6.267766953
3.580498695,6.519024372
4.24666214,7.85690546
3.705632687,6.531906605
3.442949057,6.234183311
3.259705544,6.080266476
3.407915831,5.952414989
3.30665803,6.068725586
3.464700699,5.591051579
3.37284565,5.284689426
3.413090944,5.485610485
3.607600689,6.026712894
3.3508358,6.172311306
3.538840294,6.211040974
3.332307339,5.774822235
3.56589222,6.112580776
3.21229887,6.016567707
3.913823366,6.959356308
3.280200243,5.774411678
3.45467329,5.685239315
3.379581928,5.924993992
3.369652987,4.917075157
3.411270857,6.282338142
3.746175528,6.441086769
3.429336786,5.878763199
3.550507069,5.14565134
3.585983038,6.171399117
3.685365438,6.576384544
3.193316936,5.687031269
3.494178534,6.063512802
3.517965078,4.845667839
3.425397873,6.138122559
3.321845055,5.826597691
3.31697464,5.768715382
3.538784266,5.460887432
3.384128332,5.604898453
3.464987993,5.432409286
3.276387453,5.719747543
3.558008432,6.44983387
3.672156096,6.484082699
3.540915966,5.669126511
3.527711153,6.112522125
3.521146059,5.58531332
3.600221634,6.498214245
3.574327707,6.323472023
3.242054701,5.852570534
3.55891943,6.167533398
3.523833275,5.945465565
3.592614889,6.031026363
3.908059359,7.517018795
3.35073328,5.854699612
3.503873587,6.4425807
3.512733698,5.967633247
3.562380791,6.107675552
3.008630276,4.768675327
3.365751028,5.875892639
3.212729931,5.731529236
3.503569365,5.895241737
3.454260588,5.636912823
4.06214571,6.913691044
3.591214418,6.222193718
3.443258286,6.009374142
3.76847744,6.886965752
3.69110322,7.123821735
3.534961462,6.14523983
3.469218493,6.083601952
3.595634222,4.775862694
3.222475767,5.415463448
3.489496946,5.230230331
3.556245089,6.280448437
3.870197773,7.172871113
3.558750868,6.404360771
3.491044044,5.543928623
3.255286694,5.65463686
3.576575756,6.014786243
3.570985794,5.839668274
3.35916543,6.117181778
3.356127977,5.97840786
3.470883608,6.329606533
3.453000546,5.98430872
3.474504948,5.956961155
3.571494818,5.801193237
3.352603674,5.75953722
3.575423956,5.715360641
3.698455811,5.996539116
3.56855011,5.764046669
3.350791693,5.840204716
3.671575308,6.232967377
3.583805323,6.052536011
3.539963722,5.895870209
3.632351875,6.294732571
3.513692379,5.671313286
3.924873352,6.367565155
3.403650761,5.651990891
3.656612873,5.919588089
3.270220995,5.676231384
3.587663412,5.827554226
3.480401516,5.794796467
3.372485876,5.811383247
3.53294301,6.183746338
3.6215868,6.04569912
3.60641861,6.031126499
3.531160355,5.932370186
3.54971385,6.025252819
3.414201736,3.962964058
3.472436905,5.51650238
3.276926279,5.895685196
3.381028414,5.857198238
3.414279222,6.111104965
3.49613595,5.884118557
3.357153654,5.843394279
3.483322859,6.029023647
3.381896734,6.05786705
3.461622,6.722941875
3.487400532,5.553757191
3.461349249,6.542630672
3.422753572,5.877618313
3.449021578,5.940114021
3.260810137,5.672980309
3.315453768,5.464759827
3.417303801,6.5178442
3.418799639,6.068786621
3.438354969,5.529977322
3.850827217,6.895578384
3.297596455,5.881259441
3.334482193,4.857533932
3.936516047,7.454465389
3.640702724,6.015048027
3.333594561,5.516081333
4.507875443,8.431734085
3.398693323,5.86382103
3.397245407,5.839987755
3.376939297,5.716026783
3.59230423,6.486609459
4.131915092,7.828851223
3.622948885,6.315137386
3.186994553,5.575629711
4.051736355,7.694405556
3.759984016,6.217745781
3.424235106,5.976383209
3.371575356,5.72183466
3.713104248,6.452759266
3.698625565,6.208993912
3.578150034,6.219156265
3.520503998,6.317364216
3.384386063,5.631905556
3.431773663,6.047271252
3.859556198,7.231823921
3.500689983,5.989477158
3.746728659,7.422245026
3.723077059,6.171139717
3.619621992,6.05004549
3.335354328,5.877182484
3.562109232,6.07866621
3.562338829,6.156228065
3.35468173,5.566679478
3.288612843,5.596867085
3.364937782,5.394719124
3.507242441,6.37291193
3.400603056,5.795898438
3.493572235,6.032173157
3.361380577,5.86206913
3.599475622,6.130424023
3.980178356,7.19534111
3.390842915,5.760999203
3.56914711,6.227406502
3.94789052,7.378111362
3.384480476,5.769326687
3.169320345,5.738326073
3.361714363,5.883158684
3.119376183,5.646690369
3.381434202,5.863470554
3.523797274,6.01886034
3.383311749,5.637678146
3.356163263,5.662631512
3.608939409,6.019356728
3.429717779,5.713593006
3.624877453,6.015369892
3.617658615,6.153927803
3.496520281,5.935767651
3.333528757,5.830840588
3.551572561,5.996146202
3.453526974,6.382813454
3.335260391,5.901576996
3.289776802,5.848083496
3.48955965,5.903261185
3.566397905,6.01390934
3.526619196,6.31157589
3.300436497,5.541304588
3.397929192,6.481619835
3.447028399,6.36010313
3.519578934,6.25044775
3.39906764,5.941699028
3.13290596,4.90996027
3.356367111,6.025710106
3.452795982,5.7289114
3.205645084,5.763932228
3.324248791,5.656300068
3.394079447,6.162051678
3.537528753,5.702727318
3.306903601,5.73608923
3.352195501,5.941693306
3.488115788,6.248290539
3.416309357,5.660072803
3.211198807,5.4662323
3.808330774,6.804912567
2.874584198,4.547403336
3.531162739,6.139155865
3.516848087,6.207997799
3.441792011,6.186051369
4.464831352,8.041913986
3.480514765,6.010439873
3.246688366,5.801633358
3.357500315,5.995399475
3.822373867,6.398076057
3.201178074,5.717631817
3.445641756,6.119263649
3.272420406,6.277497292
3.55811882,5.798744202
3.636867523,6.047080994
3.359282494,5.726211071
3.415165663,5.531658649
3.500389576,6.222637653
3.469728231,6.203941822
4.053974152,6.882287025
3.387048721,5.329743385
3.567199945,5.972064018
3.246155739,5.592499733
3.384042025,5.744637489
3.44968009,5.750952721
3.437391043,5.411156654
3.731509924,5.92456007
3.471148968,5.457817554
3.490292311,6.048507214
3.470752954,5.255511761
3.612902641,5.474622726
3.39566493,5.93915987
3.333694935,5.562587738
3.577515125,6.103023529
3.535507917,5.862814426
3.494708061,5.46425724
3.570416689,6.066753864
3.338852167,5.216738701
3.606779337,6.003685951
4.036064148,6.984827518
3.54885602,5.878367424
3.778908968,5.9332757
3.406517744,5.336426735
3.957360744,7.11969614
4.016629696,7.061404228
3.496100426,5.774561882
3.356978178,5.538901329
3.629109859,6.099290371
3.776102066,6.688219547
3.928155184,6.410935879
3.432807446,5.480130196
3.638506651,5.925231457
3.411263466,5.758740902
3.662074089,6.202027321
3.412194014,5.596451759
3.670774221,6.176631451
3.387066841,5.545157433
3.496935844,5.850131035
3.781462193,6.374874592
3.488048315,6.305420399
3.540957451,5.894571304
3.410850763,5.574504375
4.154150009,7.615134239
3.518179893,6.039756775
3.244015217,5.18890667
3.385108471,5.488555908
3.512751102,5.750790596
3.714155436,6.571119308
4.24987793,7.900109291
3.537414551,6.081545353
4.223128319,7.524890423
3.34970808,5.834497452
3.18035078,5.801869869
3.367272377,5.523496151
3.418469191,6.091395855
3.495026112,6.22838068
4.135742664,7.898206711
3.540208817,6.08922863
3.604306936,5.950127125
3.523791075,5.987238407
3.459100723,5.871342659
3.32470274,5.909404278
3.179924488,5.281522751
3.403398037,5.752534389
3.349955082,6.093179226
3.385985851,5.823822021
3.462274313,5.989320755
3.396316767,5.868618488
3.117170572,5.331134796
3.39119339,5.709887981
3.358982801,5.788226128
3.241881847,5.458291054
3.290565968,5.379358292
3.486969948,5.852095604
3.331173658,5.8770051
3.562590122,6.026981354
3.344174147,6.018071651
3.588540554,6.49698782
3.324391842,5.876663208
3.321679115,5.99205637
3.518661737,6.497986317
3.25498271,5.549444675
3.430819988,5.672222614
3.317528486,5.644349098
4.177491665,7.860800266
3.556717634,6.13183403
3.244388819,5.707360744
3.459366322,6.063088894
3.51565218,6.097682476
3.414736509,5.979032993
3.448636055,6.090969563
3.488437653,6.206006527
3.473179102,5.886145115
3.488654137,5.793684006
3.33582902,5.508830547
3.357356787,5.758561134
3.545529604,6.177783966
3.431906939,5.915646076
3.530118704,6.577052593
3.427592516,6.010484695
3.392274141,5.859892368
3.303339958,5.86224556
3.627802849,6.348047733
3.425451279,5.654416084
3.542605639,6.026045799
2.963604927,4.658003807
3.411164284,5.529032707
3.597204447,6.105076313
3.61502409,5.886520863
3.548357964,5.86303997
3.677802563,6.49604702
3.399926186,5.955377579
3.475090265,6.302428246
3.302304745,5.79564476
3.392382383,5.976756096
3.464634895,6.114627361
3.933516741,7.089819908
3.409340143,5.812280655
3.390745878,5.823556423
3.578816891,6.267586231
3.184273958,5.779628754
3.349168777,5.939642906
3.406494617,6.018502712
3.508174181,6.162222862
3.549536705,6.100245476
3.679222345,6.315042973
3.617184401,5.513107777
3.00778389,4.521366119
3.281611681,4.860993385
3.544972897,5.746750832
3.423616648,6.193350315
3.506705523,4.580674648
3.517221689,6.335382938
3.335723162,5.869824409
3.58670783,6.459514618
3.009399414,4.273008823
4.01960516,7.292835236
3.436011553,6.375161648
3.574274063,5.883796692
3.58830595,6.253567219
3.72027874,5.139729977
3.261069298,5.656647205
3.847474813,5.946597576
3.798277855,6.243702888
3.525022507,6.173467636
3.415534019,5.574989319
3.282487392,4.925967693
3.230140209,5.296327591
3.61386013,6.65755415
3.435377359,6.065971375
3.609253645,6.266009808
3.677928209,6.8398633
3.409415483,5.757291317
3.531615973,6.008254528
3.511884928,6.189149857
3.61030221,6.229755878
3.436395645,5.993982315
3.476886034,5.738776684
3.593502998,6.138765812
3.675388813,6.494958401
3.389680862,6.060197353
3.562606573,5.891933441
3.606476545,6.110563278
3.428370953,5.390555382
3.595981598,6.259524822
3.628763437,5.429368019
3.581134558,6.313360691
4.311599255,7.542709827
3.20397687,5.709213734
3.558992147,6.672437191
3.420914412,6.08406353
3.347230196,5.823091984
3.657499313,6.266645908
3.886988401,6.974638462
3.630002975,6.451726437
3.677345753,5.413898468
3.771103621,6.616966724
3.375473261,5.743662834
3.295311213,5.630666256
3.677692413,6.000144005
3.451187611,6.159236908
3.453274965,5.765413761
3.641576767,5.408949852
3.382898092,5.880385876
3.435613394,5.507607937
3.267776012,5.668257236
3.539724588,5.892735481
3.530546904,5.928435326
3.424353361,6.057778358
3.56655097,6.005372047
3.264903069,5.859318256
3.571302891,6.383719444
3.347138405,5.714583874
3.409124613,5.840123653
3.510810137,6.714401722
3.251181364,5.603578091
3.79455018,6.863154411
3.273135424,5.750240326
3.585125923,6.292704582
3.513101816,5.816099167
3.46110034,5.983754635
3.480765343,5.91698122
3.551029444,5.87526083
3.659917831,6.534082413
3.434822321,6.014312267
3.464724779,5.920491219
3.95375824,7.179463387
3.467586994,6.277750015
3.139750957,5.923363686
3.226459026,5.716787815
3.366113186,6.305799961
3.321796894,5.89085865
3.459455252,6.119080067
3.4872365,5.772090912
3.662227154,6.216176033
3.680153608,6.576026917
3.167656898,5.990757465
3.693902493,6.307009697
3.459672451,6.182372093
3.459628582,5.875730991
3.252093554,6.242249489
2.999330521,5.161074638
3.314011335,6.013207912
3.28585434,5.784275532
3.306169748,6.221440792
3.313815117,5.676869392
3.847050667,6.753705502
3.441401005,5.958086014
3.266973972,5.918096066
3.639506102,5.51214695
3.345976353,6.160054684
3.499969482,6.170654774
3.415548086,6.450753689
3.026204109,5.597905636
3.494939089,6.256117344
3.411601543,6.130721569
3.412878513,6.258214474
3.042811871,5.314991951
3.432606459,6.308719158
3.57635808,6.32806015
3.792269707,6.333917141
3.669149637,6.384821892
3.455245495,6.121040821
3.492695808,5.908349037
3.596784115,6.424433231
3.441162348,5.992250443
3.695715666,6.144048691
3.639361858,5.832417488
4.144407272,7.251571178
3.128321886,5.419100285
3.552939892,6.167486668
3.519068718,6.524226665
3.51396513,6.129444599
3.616547108,6.105155945
3.371399403,6.15369463
3.301879883,5.755877495
3.37868166,5.856762409
2.988660812,4.726195335
3.208884716,5.584843636
3.441986322,6.163002968
3.344773054,5.744679928
3.094224453,5.2886796
3.669687271,5.995981216
3.238500595,6.04193449
3.405190706,6.017190933
3.570580721,6.091701508
3.462353945,5.735961437
3.315401554,5.694567204
3.300982237,6.045324326
3.632980347,6.498945713
3.753620863,6.778334141
4.097174168,7.484020233
3.599770546,6.30515337
3.592113256,6.709250927
3.385933876,6.409898758
3.470895052,6.172352314
3.461826086,6.030941963
3.705214739,5.838471889
4.059520245,7.546197414
3.334199905,6.017160892
3.42708087,6.425822735
3.542490721,6.287713528
3.828853607,7.241090298
3.389745712,5.934389114
4.00552702,7.669623375
3.349977016,5.914460659
3.40984869,5.875833988
4.026291847,7.491345406
3.250691652,5.723412514
3.787066698,6.814044476
3.312886953,5.766192913
3.486519337,6.217129707
3.33212471,6.147500038
3.413674831,5.875459671
4.174622536,8.055733681
3.495233774,6.36137867
3.634970903,6.468644619
3.396746159,6.104007721
3.50007844,6.105547905
4.488497734,7.753406525
3.374769449,6.211627007
3.393056631,6.013457775
3.272770405,6.149374485
3.456794024,6.298946381
3.657593727,6.726074219
3.207392216,5.257202625
3.447800636,6.111358166
3.367640495,6.05429697
3.537099361,6.690689564
3.631984234,6.192850113
3.277016878,5.78432703
3.346715927,5.71041441
4.352288246,8.404525757
3.663962126,6.386238098
3.550749302,6.168218613
3.412856579,6.24760437
3.617440462,6.388622761
3.509245396,6.42770052
3.541032314,6.109793663
3.530678034,6.30618906
3.443041563,5.612104893
3.703564882,6.644432545
3.898483992,6.465829849
3.635996103,6.176119804
3.273908138,5.961220741
3.503917217,6.476721764
3.420771837,5.895804405
3.555566072,5.920728683
3.740159988,6.511084557
3.287397385,5.999033451
3.130115986,5.246483326
3.332761765,5.773257732
3.540512085,6.080405235
3.399581194,5.642301559
3.580138206,6.266180992
3.54540062,6.220684052
3.614030361,6.115977764
3.299336433,5.957905293
3.512402534,6.22262764
3.220563889,5.535864353
3.539242983,5.360304832
3.327236891,6.292650223
3.294173479,5.492098808
3.492398024,6.021615028
3.502884388,5.829524517
